genre,artist,play_count,total_minutes
Other,Buckcherry,8,20.5
Other,Buckethead,18,14.4
Other,Bullet For My Valentine,77,163.4
Other,Bunbury,40,127.8
Other,Burum,9,5.4
Other,Bush,71,212.9
Other,Butcher Babies,5,11.8
Other,Butterfly Tea,5,0.1
Other,BØRNS,14,37.0
Other,Böhse Onkel,14,1.8
Other,C21fx,14,5.2
Other,CAKE,13,28.7
Other,CHVRCHES,5,5.1
Other,CKY,5,10.9
Other,Cab Calloway,5,7.3
Other,Cabeones,11,11.4
Other,Cacho Castaña,7,11.4
Other,Cacophony,9,72.7
Other,Cafe Music BGM channel,39,107.4
Other,Café Tacvba,10,18.0
Other,Cage The Elephant,62,85.2
Other,Cain's Offering,36,130.2
Other,Caligula's Horse,255,903.7
Other,Callejeros,7,15.7
Other,Calum Scott,20,31.6
Other,Calvin Harris,24,61.9
Other,Calyx,7,1.7
Other,Calyx & TeeBee,5,3.4
Other,Camel,7,33.7
Other,Camila,6,2.5
Other,Camila Cabello,106,291.2
Other,Campedrinos,34,108.5
Other,Canyon City,10,20.4
Other,Capital Cities,8,22.6
Other,Carajo,431,1343.8
Other,Cardi B,5,21.1
Other,Carina Dahl,5,17.0
Other,Carlos Di Fulvio,5,16.6
Other,Carlos Gardel,7,9.2
Other,Carlos Vives,6,13.3
Other,Carlton Rimor,6,0.0
Other,Carluccio,6,0.0
Other,Carly Rae Jepsen,9,24.2
Other,Carter Burwell,7,9.0
Other,Catfish and the Bottlemen,8,24.5
Other,Catupecu Machu,340,940.1
Other,Cavetown,8,22.6
Other,Celia Cru,7,4.1
Other,Celldweller,5,22.7
Other,Ceterum,6,25.3
Other,Chad Lawson,6,18.1
Other,Chaka Khan,9,40.1
Other,Chappell Roan,7,13.1
Other,Chaqueño Palavecino,70,156.3
Other,Charli xcx,26,38.6
Other,Charlie Puth,38,70.7
Other,Charlotte Lawrence,23,59.6
Other,Charly García,325,818.4
Other,Charon,6,14.0
Other,Chase Atlantic,7,12.2
Other,Cheap Trick,49,105.3
Other,Cher,9,26.9
Other,Cher Lloyd,5,14.9
Other,Chet Faker,78,275.7
Other,Chevelle,144,414.0
Other,Chick Corea,6,14.9
Other,Children Of Bodom,146,380.5
Other,Chloe Adams,9,20.2
Other,Chon,115,234.8
Other,Chris Cornell,974,2858.8
Other,Chris Isaak,24,56.0
Other,Christian Leave,14,24.6
Other,Christina Aguilera,11,20.4
Other,Christina Perri,13,40.6
Other,Christophe Beck,16,0.2
Other,Christopher Drake,6,9.0
Other,Chroma Key,44,117.5
Other,Chronologist,9,36.0
Other,Chuck Berry,5,7.8
Other,Chumbawamba,8,7.4
Other,Ciara,24,58.6
Other,Ciaran Lavery,5,4.5
Other,Cielo Rao,16,26.1
Other,Cigarettes After Sex,90,318.4
Other,Cinema Biarre,6,3.7
Other,Circa Survive,60,132.2
Other,Circle Jerks,10,0.0
Other,Circles,7,24.5
Other,Circus Maximus,47,160.2
Other,Ciro y los Persas,25,108.6
Other,Clairo,8,16.0
Other,Claude Bolling,34,125.0
Other,Claude Debussy,83,297.8
